referencia,sao_paulo,mato_grosso_do_sul,rondonia,amazonas,pernambuco,ceara,para,tocantins,sergipe,minas_gerais,rio_de_janeiro,goias,rio_grande_do_sul,espirito_santo,bahia,alagoas,distrito_federal,acre,rio_grande_do_norte,maranhao,parana,paraiba,santa_catarina,piaui,amapa,total
2013,72463351.94,1992863.35,158786.82,44409286.4,1868845.58,2244370.07,944948.48,40524.03,22199.19,19096822281.68,32537315.07,88248405,1825618.98,1650920.11,4877158.8,552473.62,284452.88,16338.69,27896.36,4138783.41,35146641.04,84962.34,5970583.53,3040.59,5927.71,19396337975.53
2014,13011726.24,1875543.09,5243973.12,228135172.89,34373673,2122693.56,364229.43,167263.71,15472.6,131806781.94,1593512.32,518033957.81,3988716.67,569395.69,20665214.91,120521.71,963668.2,16329.18,25601.76,81768435.69,80290709.45,1182730.15,4695108.09,4923.19,3062.79,1131038417.1
2015,11952436.4,254262.36,128606.83,281420098.87,275350051922.98,180735514.01,241466.73,42360.77,81980258,5826676.2,234170352.25,89716691.62,5038252.99,2349176.87,3650889.45,147926.19,14376.62,15859.74,107080.8,547832.11,76984984.35,4123890.11,769593.53,340460.47,1954.13,276330612924.31
2016,7902383.31,47931.5,150320.29,254363963.91,1479187.57,2957374.55,827122.51,204388.13,19075616.2,13217470.47,642570448.96,90104486.5,6189917.89,402108.87,671262.01,137265.32,18065.88,32783.53,86496.8,120950.68,80618746.16,60125.69,864441.07,621583.53,482.95,1122724924.17
2017,8930569.14,77657655.94,354645.83,39505.38,1791188.15,14777677.22,212532.46,209479.24,210119.48,13136625.34,2823853.42,104172308.29,55147853.65,410998.14,296141.83,208614.66,40075.54,15752.34,94075.8,31181.82,4871021.92,73238.25,1084273.38,219387.94,762.87,286809537.92
2018,10767320.34,133617860.39,315652.7,52956.95,2303906.53,2764120.44,827768.08,265337.83,32140.65,9152738.76,15779193.95,94639659.22,4522652.95,369207.89,426718.98,214894.24,2079.54,15414.17,11336295.16,31138.05,325073.2,68147.86,937856.43,863540.02,1320.87,289632995.08
2019,40127693.22,101283171.03,703350104.71,168011475569.75,926711.36,1872319,209113.17,23588.92,27474.61,4339699.53,710127708.34,8402712.66,79988788.03,2314914.59,400611.67,457280.33,1663129898.66,15447.47,6670729.57,36509.85,400068.81,15071502.41,1417215881.55,903096.78,1714.3,172768772310.27
2020,28883150.96,1737137.78,45392.06,323710831266.61,18102861.82,2248286.32,224465.44,46615.99,4531461.7,3072691.37,631651.48,9175624.98,451784.43,260959.99,2256750.48,55096.46,24979.27,108496.21,8704197.65,87858.69,6022369.68,104193.94,1080921.52,8773.27,1592.42,323798698580.41
2021,26168544.99,527753.14,34823.4,942996971.14,1547940.17,1524715.84,264642.72,42013.15,20673.97,2496294.23,1202316.43,9512868.5,9412804.06,2181344.36,2417847.01,17086.12,23517.47,21513.24,12784335.26,56689.84,1342693.21,148870.74,2074341.84,12108.83,1927.67,1016834637.23
2022,6532275.91,159507808.96,55064.36,147787293500.5,692509.62,1372270.14,189082.57,458003.36,13817.36,2294611.78,1563030.99,9791716.69,1189128.95,270634.58,5536652.07,21525.1,60593.22,5523.93,9515137.7,78273.16,6932305.06,344962.84,1119083.38,393490.35,624.46,147995231626.9
